datetime,q_lo,q_md,q_hi,signal,fwd_ret,pnl,equity
2025-02-26,-0.024508192607414256,-0.01107853076683195,0.010197034702503873,-1,-0.009693800237718677,0.009543800237718676,1.0095438002377186
2025-02-27,-0.021226221937962402,-0.0005386894583336681,0.007330609487108669,-1,-0.005773326415329829,0.005623326415329829,1.0152207945570277
2025-02-28,-0.030913117825463538,0.00888787503440745,0.024070857581717786,1,-0.025223250649590082,-0.025373250649590083,0.9894613428720563
2025-03-03,-0.026479915177081367,0.01669215013896995,0.030777972799746565,1,-0.011343095248870895,-0.011493095248870896,0.9780893694133521
2025-03-04,-0.021315164659425085,0.006580397299259582,0.028913813604955686,1,0.013309094841335235,0.013159094841335234,0.9909601401887641
2025-03-05,-0.023940795102208378,0.008660718214475975,0.021955034343853964,1,-0.035038642458437214,-0.03518864245843721,0.9560895981250989
2025-03-06,-0.028016400091151677,0.010573641645390063,0.01952807404940711,1,-0.061573132964009215,-0.06172313296400921,0.8970767527345173
2025-03-07,-0.029615948103341297,-0.009785069276239471,0.02604064138541479,-1,-0.09239976124115792,0.09224976124115793,0.9798318689892698
2025-03-10,0.008119798505938034,0.022633793183026402,0.028467438711081178,1,-0.07824865212797662,-0.07839865212797661,0.9030143711484748
2025-03-11,-0.010231296976862602,0.00242144196728624,0.012984851764421318,1,-0.03328197322318778,-0.03343197322318778,0.8728248188720853
2025-03-12,-0.010814758774227598,0.021016854416268306,0.01905557987422014,1,-0.013733965278905396,-0.013883965278905397,0.8607065493922984
2025-03-13,-0.010203230774420941,0.004388859410444379,0.015967100260112915,1,0.014355255011283994,0.014205255011283993,0.8729331054162982
2025-03-14,-0.016858999810622215,0.023246155710773046,0.03341142361769542,1,0.00819710503991736,0.00804710503991736,0.8799576898084044
2025-03-17,-0.016166825751705874,0.018075001777807062,0.043844220950752646,1,0.0004673182407272196,0.0003173182407272196,0.8802369164344488
2025-03-18,-0.01785456659566685,0.006163078863934996,0.030811573458045784,1,0.026235374333553437,0.026085374333553436,0.9031982259018542
2025-03-19,-0.011396799170748156,-0.004323371797918177,0.04208255421572785,-1,0.025506365425870425,-0.025656365425870426,0.8800254421661183
2025-03-20,-0.007250001805471422,0.018257600443672112,0.0439367853052609,1,0.04507236628390698,0.04492236628390698,0.9195582674182619
